file,aligned_records,GT_records,PRED_records,avg_f1_multilabel,avg_accuracy_single,warnings
1,26,26,26,0.9282457997155669,1.0,0
1137,11,11,11,0.45299579831932774,0.8333333333333334,0
1159,22,22,22,0.42705333881804475,0.1282051282051282,0
1160,15,15,15,0.53701383087348,,0
1164,12,12,12,0.5106227106227106,0.6428571428571429,0
1166,9,9,9,0.33999999999999997,0.0,0
1167,23,23,23,0.5699869411797395,,0
1172,14,14,14,0.34714285714285714,0.0,0
1173,21,21,21,0.47155986090412316,0.2608695652173913,0
119,5,5,5,0.5064285714285715,1.0,0
1199,9,9,9,0.4640993788819876,0.0,0
1202,27,27,27,0.28083538083538084,0.3,0
1221,35,35,35,0.3272166903745851,0.19444444444444445,0
1232,23,23,23,0.46971428571428575,0.041666666666666664,0
1240,12,12,12,0.5664335664335665,1.0,0
129,5,5,5,0.5711579711579712,1.0,0
1430,10,10,10,0.9647058823529411,1.0,0
1600,19,19,19,0.3654172913543229,0.4074074074074074,0
1607,10,10,10,0.6085816144639674,0.6666666666666666,0
1618,1,1,1,0.4,1.0,0
1626,18,18,18,0.5170332877202791,1.0,0
1718,1,1,1,0.4,1.0,0
1719,1,1,1,0.2,1.0,0
1720,2,2,2,0.36,1.0,0
1731,12,12,12,0.3423509823509824,1.0,0
1744,7,7,7,0.45555555555555555,1.0,0
1747,33,33,33,0.37309741248097417,0.7027027027027027,0
1758,14,14,14,0.4928571428571429,0.6470588235294118,0
1760,16,16,16,0.3,1.0,0
1761,10,10,10,0.3826957356369121,0.8181818181818182,0
1762,190,190,190,0.5047143015866115,0.28125,0
1763,4,4,4,0.3333333333333333,0.5,0
1765,4,4,4,0.2571428571428572,1.0,0
1871,10,10,10,0.888888888888889,1.0,0
1876,21,21,21,0.26285714285714284,0.5238095238095238,0
1877,54,54,54,0.6388314726209463,0.2222222222222222,0
1878,17,17,17,0.3126050420168067,0.35294117647058826,0
191,38,38,38,0.3319716312056738,0.48717948717948717,0
194,10,10,10,0.42315789473684207,1.0,0
2040,20,20,20,0.4188888888888889,1.0,0
2042,28,28,28,0.48690615427457534,0.6071428571428571,0
2047,21,21,21,0.32832279400054337,0.21739130434782608,0
207,11,11,11,0.4262427227944469,0.6153846153846154,0
2072,39,39,39,0.5984354911100542,0.24390243902439024,0
223,10,10,10,0.26222222222222225,0.3,0
295,8,8,8,0.49444444444444446,0.375,0
298,7,7,7,0.41666666666666663,0.1,0
303,10,10,10,0.5828203046184888,0.1,0
307,2,2,2,0.3,1.0,0
312,10,10,10,0.7121212121212122,1.0,0
325,16,16,16,0.39714285714285713,0.47619047619047616,0
330,6,6,6,0.7173231721838532,0.5,0
342,7,7,7,0.49142857142857144,0.375,0
348,68,68,68,0.6084372042786133,0.19444444444444445,0
357,8,8,8,0.8380501625937733,0.625,0
624,20,20,20,0.3674193548387097,0.85,0
642,8,8,8,0.28526315789473683,0.3333333333333333,0
711,5,5,5,0.7266666666666667,0.6,0
721,12,12,12,0.432183908045977,0.4166666666666667,0
735,5,5,5,0.31999999999999995,0.4,0
7381,7,7,7,0.3437037037037037,,0
7382,7,7,7,0.3158831908831909,,0
7390,9,9,9,0.33606223525578366,,0
7391,11,11,11,0.40317460317460313,,0
7402,10,10,10,0.4815189683610736,,0
7408,12,12,12,0.29244829244829246,,0
7409,11,11,11,0.3986111111111111,,0
7412,15,15,15,0.4736394557823129,,0
7422,9,9,9,0.40659340659340654,,0
7431,15,15,15,0.45438785270205645,,0
7434,15,15,15,0.326181536444365,,0
7435,14,14,14,0.3563034188034188,,0
7437,11,11,11,0.4234317644179786,,0
745,9,9,9,0.4494531784005469,1.0,0
746,7,7,7,0.7132467532467532,1.0,0
7474,9,9,9,0.25656565656565655,0.4444444444444444,0
7476,12,12,12,0.355907980907981,,0
7480,10,10,10,0.34173976608187134,,0
7481,25,25,25,0.4856114426446907,,0
768,6,6,6,0.3078431372549019,0.6666666666666666,0
802,9,9,9,0.34060606060606063,0.5,0
972,11,11,11,0.7423655913978495,0.7272727272727273,0
